City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,32.18,85,88,10.16,GS,1716056601
1,clovis,36.8252,-119.7029,82.62,51,40,4.61,US,1716056896
2,ust-nera,64.5667,143.2,39.54,99,100,3.65,RU,1716056644
3,hami,42.8,93.45,80.26,17,100,3.47,CN,1716057134
4,iskateley,67.6803,53.1512,35.02,92,100,21.0,RU,1716057134
5,sao jose da coroa grande,-8.8978,-35.1478,82.45,74,4,6.08,BR,1716057135
6,kudahuvadhoo,2.6708,72.8944,84.65,80,100,26.17,MV,1716057135
7,jamestown,42.097,-79.2353,74.52,73,75,9.22,US,1716056586
8,edinburgh of the seven seas,-37.0676,-12.3116,64.04,84,98,45.37,SH,1716056581
9,mount pearl,47.5166,-52.7813,50.32,57,20,13.8,CA,1716056612
10,bonthe,7.5264,-12.505,83.3,79,73,9.64,SL,1716057137
11,port-aux-francais,-49.35,70.2167,40.89,80,85,32.88,TF,1716056281
12,kerikeri,-35.2268,173.9474,50.92,93,6,3.0,NZ,1716056680
13,tazacorte,28.629,-17.9293,69.15,79,75,5.75,ES,1716056828
14,isafjordur,66.0755,-23.124,33.84,69,75,16.11,IS,1716056628
15,novokayakent,42.3937,47.9861,56.26,67,96,6.49,RU,1716057140
16,illela,13.7292,5.2975,103.03,15,67,13.2,NG,1716057140
17,bilibino,68.0546,166.4372,13.98,86,15,3.42,RU,1716056627
18,cabo san lucas,22.8909,-109.9124,90.7,32,0,11.5,MX,1716056742
19,arraial do cabo,-22.9661,-42.0278,80.56,89,40,13.8,BR,1716056666
20,carnarvon,-24.8667,113.6333,75.4,40,0,16.24,AU,1716056614
21,novo aripuana,-5.1206,-60.3797,83.8,84,45,2.08,BR,1716057143
22,avarua,-21.2078,-159.775,73.45,88,75,12.66,CK,1716056629
23,petropavlovsk-kamchatsky,53.0452,158.6483,44.78,80,100,8.01,RU,1716056647
24,gergebil',42.5047,47.0661,45.01,88,7,2.62,RU,1716057144
25,longyearbyen,78.2186,15.6401,24.64,86,100,12.66,SJ,1716056643
26,papatowai,-46.5619,169.4708,36.27,80,3,4.83,NZ,1716056701
27,lewistown,40.5992,-77.5714,71.87,88,100,0.0,US,1716057063
28,hunchun,42.8675,130.3581,57.4,72,100,4.72,CN,1716057146
29,ampanihy,-24.7,44.75,65.88,97,22,6.04,MG,1716057146
30,puerto natales,-51.7236,-72.4875,48.65,66,20,2.3,CL,1716056597
31,lagunas,-5.2269,-75.6753,89.06,57,99,0.4,PE,1716057147
32,dauphin,51.1494,-100.0502,51.94,87,100,17.27,CA,1716057148
33,banff,51.1762,-115.5698,51.03,42,100,6.91,CA,1716057001
34,thompson,55.7435,-97.8558,50.16,71,75,18.41,CA,1716056620
35,bracebridge,45.0334,-79.3163,77.32,49,100,5.75,CA,1716057021
36,qala i naw,34.9874,63.1289,62.01,85,100,8.25,AF,1716057150
37,keflavik,64.0049,-22.5624,48.11,61,75,17.27,IS,1716056621
38,jeddah,21.5169,39.2192,89.46,55,0,5.75,SA,1716056957
39,bethel,41.3712,-73.414,70.65,67,75,9.22,US,1716056598
40,nar'yan-mar,67.6713,53.087,35.11,92,100,21.0,RU,1716056693
41,coquimbo,-29.9533,-71.3436,62.33,39,0,12.66,CL,1716056530
42,nuuk,64.1835,-51.7216,38.01,70,20,15.01,GL,1716057153
43,chegdomyn,51.1167,133.0167,35.85,57,5,5.44,RU,1716057138
44,champerico,14.3,-91.9167,90.14,69,100,12.15,GT,1716057154
45,queenstown,-31.8976,26.8753,54.66,50,85,3.15,ZA,1716056777
46,vadso,70.0744,29.7487,45.48,81,20,11.5,NO,1716056644
47,san julian,21.0167,-102.1667,88.61,11,0,11.77,MX,1716057155
48,chihuahua,28.5,-106.0,85.03,10,0,2.77,MX,1716057004
49,hailey,43.5196,-114.3153,59.99,27,0,11.5,US,1716057129
50,enewetak,11.3474,162.3373,81.19,81,98,20.71,MH,1716056394
51,klyuchi,52.2667,79.1667,63.23,51,88,8.03,RU,1716056611
52,puerto ayora,-0.7393,-90.3518,82.36,93,70,5.01,EC,1716056684
53,apaxtla de castrejon,18.15,-99.8667,93.54,27,0,4.09,MX,1716057158
54,invercargill,-46.4,168.35,29.01,96,9,4.03,NZ,1716056625
55,nicoya,10.1483,-85.452,92.57,53,66,4.29,CR,1716057159
